Date, Open, High, Low, Close
12/23/16, 19908.61, 19934.15, 19899.06, 19933.81
12/22/16, 19922.68, 19933.83, 19882.19, 19918.88
12/21/16, 19968.97, 19986.56, 19941.96, 19941.96
12/20/16, 19920.59, 19987.63, 19920.42, 19974.62
12/19/16, 19836.66, 19917.78, 19832.95, 19883.06
12/16/16, 19909.01, 19923.17, 19821.00, 19843.41
12/15/16, 19811.50, 19951.29, 19811.50, 19852.24
12/14/16, 19876.13, 19966.43, 19748.67, 19792.53
12/13/16, 19852.21, 19953.75, 19846.45, 19911.21
12/12/16, 19770.20, 19824.59, 19747.74, 19796.43
12/09/16, 19631.35, 19757.74, 19623.19, 19756.85
12/08/16, 19559.94, 19664.97, 19527.83, 19614.81
12/07/16, 19241.99, 19558.42, 19229.83, 19549.62
12/06/16, 19219.91, 19255.89, 19184.74, 19251.78
12/05/16, 19244.35, 19274.85, 19186.73, 19216.24
12/02/16, 19161.25, 19196.14, 19141.18, 19170.42
12/01/16, 19149.20, 19214.30, 19138.79, 19191.93
11/30/16, 19135.64, 19225.29, 19123.38, 19123.58
11/29/16, 19064.07, 19144.40, 19062.22, 19121.60
11/28/16, 19122.14, 19138.72, 19072.25, 19097.90
11/25/16, 19093.72, 19152.14, 19093.72, 19152.14
11/23/16, 19015.52, 19083.76, 19000.38, 19083.18
11/22/16, 18970.39, 19043.90, 18962.82, 19023.87
11/21/16, 18898.68, 18960.76, 18883.10, 18956.69
11/18/16, 18905.33, 18915.74, 18853.83, 18867.93
11/17/16, 18866.22, 18904.03, 18845.27, 18903.82
11/16/16, 18909.85, 18909.85, 18825.89, 18868.14
11/15/16, 18858.21, 18925.26, 18806.06, 18923.06
11/14/16, 18876.77, 18934.05, 18815.75, 18868.69
11/11/16, 18781.65, 18855.78, 18736.96, 18847.66
11/10/16, 18603.14, 18873.66, 18603.14, 18807.88
11/09/16, 18317.26, 18650.06, 18252.55, 18589.69
11/08/16, 18251.38, 18400.50, 18200.75, 18332.74
11/07/16, 17994.64, 18263.30, 17994.64, 18259.60
11/04/16, 17928.35, 17986.76, 17883.56, 17888.28
11/03/16, 17978.75, 18006.96, 17904.07, 17930.67
11/02/16, 18017.72, 18044.15, 17931.89, 17959.64
11/01/16, 18158.24, 18177.01, 17940.84, 18037.10
10/31/16, 18176.60, 18193.68, 18130.58, 18142.42
10/28/16, 18193.79, 18257.06, 18094.97, 18161.19
10/27/16, 18234.81, 18253.20, 18149.20, 18169.68
10/26/16, 18103.80, 18236.04, 18062.30, 18199.33
10/25/16, 18206.52, 18241.69, 18151.70, 18169.27
10/24/16, 18197.14, 18275.04, 18191.18, 18223.03
10/21/16, 18152.63, 18168.76, 18049.77, 18145.71
10/20/16, 18161.87, 18249.05, 18129.07, 18162.35
10/19/16, 18178.21, 18252.20, 18169.25, 18202.62
10/18/16, 18145.06, 18225.80, 18129.45, 18161.94
10/17/16, 18135.85, 18162.28, 18063.02, 18086.40
10/14/16, 18177.35, 18261.11, 18138.38, 18138.38
10/13/16, 18088.32, 18137.70, 17959.95, 18098.94
10/12/16, 18132.63, 18193.96, 18082.09, 18144.20
10/11/16, 18308.43, 18312.33, 18061.96, 18128.66
10/10/16, 18282.95, 18399.96, 18282.95, 18329.04
10/07/16, 18295.35, 18319.73, 18149.35, 18240.49
10/06/16, 18280.42, 18288.12, 18162.97, 18268.50
10/05/16, 18205.50, 18315.82, 18205.50, 18281.03
10/04/16, 18267.68, 18313.77, 18116.26, 18168.45
10/03/16, 18279.60, 18279.80, 18203.75, 18253.85
09/30/16, 18181.80, 18369.62, 18181.80, 18308.15
09/29/16, 18322.88, 18366.23, 18091.64, 18143.45
09/28/16, 18240.22, 18349.86, 18179.34, 18339.24
09/27/16, 18099.21, 18238.10, 18052.16, 18228.30
09/26/16, 18217.76, 18217.76, 18083.32, 18094.83
09/23/16, 18377.36, 18383.76, 18254.84, 18261.45
